Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
christensen-pn-width-8,0.21876722801503537,0.2216533231398699,0.21847565248784218,0.2184871909221545,0.2196120112977554,0.21964365350718856,0.21524050202807454,0.21686713811435085,0.22495062541145489
golub-pn-freq-2,0.1611574074074074,0.16287294238683134,0.1609349279835391,0.16245627572016463,0.16141203703703705,0.16261316872427986,0.16064814814814812,0.16234375,0.16335519547325109
golub-pn-freq-4,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868,0.08712705761316868
golub-pn-freq-8,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162,0.04886831275720162
golub-pn-width-2,0.21468364197530865,0.2175861625514403,0.21536136831275718,0.21536136831275718,0.2144116512345679,0.2144116512345679,0.2139416152263375,0.2139416152263375,0.2146090534979424
golub-pn-width-4,0.21313657407407413,0.21428112139917693,0.2127488425925926,0.2127488425925926,0.2133172582304527,0.2133172582304527,0.2127449845679013,0.2127449845679013,0.2125771604938272
golub-pn-width-8,0.20751800411522633,0.20992155349794256,0.2066538065843621,0.20802662037037037,0.20704989711934157,0.2078292181069959,0.2081127829218107,0.20908179012345682,0.205761316872428
gordon-pn-freq-2,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092,0.0859823163721092
gordon-pn-freq-4,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045,0.0438427805419045
gordon-pn-freq-8,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664,0.023372302432770664
